Field.Notebook,Image,Field.Number,Genus,Sex,SVL ,Total,Stream.Distance,Habitat,Development ,Larval.Period,Microhabitat,Date.Collected,Month.Collected,Time.Collected,Elevation,Elevation.Range,Site.Description,Date Preserved,Notes,Location
267,16,CD 5006,Desmognathus fuscus,female,33.5,68,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5009,Desmognathus fuscus,female,34,63,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5004,Desmognathus fuscus,male,37,72,0,Semi,biphasic ,14.5,stream,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,CD50045012 all collected under rocks in spring water temp 10C,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5007,Desmognathus fuscus,female,44,87.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5010,Desmognathus fuscus,female,44.5,80,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5008,Desmognathus fuscus,male,45.5,89,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5012,Desmognathus fuscus,female,46.5,87,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5011,Desmognathus fuscus,female,47.5,87,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,16,CD 5005,Desmognathus fuscus,female,52,88,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5013,Desmognathus fuscus,female,52,95,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5014,Desmognathus fuscus,male,59,110,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,18,CD 5015,Desmognathus fuscus,male,62.5,115.5,,Semi,biphasic ,14.5,,7/2/57,July,3:005:00pm,5400,5400 ±25,small spring 1/4 mile north east of the toll road,,,"Whitetop Mt., Grayson Co., VA SE facing slope "
267,48,CD 5137,Desmognathus fuscus,male,29,53.5,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,46,CD 5135,Desmognathus fuscus,male,42.5,81.5,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,48,CD 5136,Desmognathus fuscus,female,45,89,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,46,CD 5134,Desmognathus fuscus,male,55.5,95,,Semi,biphasic ,14.5,,7/5/57,July,11:00pm,5425,5425,1000ft north of end of toll road,,,"Whitetop Mt., Smyth Co., VA, North facing slope"
267,58,CD 5184,Desmognathus fuscus,male,41.5,,0,Semi,biphasic ,14.5,stream,7/10/57,July,,5075,5075 ±25,"Beech maple forest with a few spruce. Water temp 13C, airtemp over water 15C, ground temp 17C, air temp 17.4C (20ft from H2O), humidity over water 66/57, humidity in woods 65/58",,stream,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5200,Desmognathus fuscus,female,43.5,79.5,1,Semi,biphasic ,14.5,stream bank,7/10/57,July,,4775,4775 ±25,Beech maple forest,,streambank; in log under bark and moss,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5199,Desmognathus fuscus,female,49,76,0,Semi,biphasic ,14.5,stream,7/10/57,July,,4775,4775 ±25,Beech maple forest,,stream,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,60,CD 5201,Desmognathus fuscus,male,58,103.5,10,Semi,biphasic ,14.5,,7/10/57,July,,4775,4775 ±25,Beech maple forest,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5478,Desmognathus fuscus,male,32,56.5,20,Semi,biphasic ,14.5,,7/18/57,July,,4700,4700 ±25,,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5479,Desmognathus fuscus,male,36.5,66,20,Semi,biphasic ,14.5,,7/18/57,July,,4700,4700 ±25,,,,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5471,Desmognathus fuscus,female,38.5,71,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5472,Desmognathus fuscus,male,42,81.5,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5473,Desmognathus fuscus,female,45.5,85.5,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5470,Desmognathus fuscus,male,46.5,,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,106,CD 5469,Desmognathus fuscus,male,49.5,,0,Semi,biphasic ,14.5,stream bed ,7/18/57,July,,4700,4700 ±25,,,streambed under rocks,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,120,CD 5557,Desmognathus fuscus,male,35,,0,Semi,biphasic ,14.5,stream bed ,7/21/57,July,,5000,5000+ 25,,,stream bed under rock,"Transect of main stream of Whitetop Creek, Whitetop Mt., Grayson Co., VA"
267,127,CD 6591,Desmognathus fuscus,male,32,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6590,Desmognathus fuscus,female,33.5,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6589,Desmognathus fuscus,male,35,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6588,Desmognathus fuscus,male,38,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6587,Desmognathus fuscus,male,42,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6586,Desmognathus fuscus,male,45.5,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,127,CD 6585,Desmognathus fuscus,male,55,,,Semi,biphasic ,14.5,,9/5/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,129,,Desmognathus fuscus,juvenile,16,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,juvenile,16,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,juvenile,16.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,juvenile,16.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,juvenile,17,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,juvenile,18,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6609,Desmognathus fuscus,juvenile,19,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,,Desmognathus fuscus,female,19.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6608,Desmognathus fuscus,male,23,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,125,CD 6584,Desmognathus fuscus,female,29,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,123,CD 6572,Desmognathus fuscus,male,29,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6607,Desmognathus fuscus,male,30,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,123,CD 6571,Desmognathus fuscus,male,30,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,123,CD 6570,Desmognathus fuscus,male,31.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,123,CD 6579,Desmognathus fuscus,male,31.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,125,CD 6583,Desmognathus fuscus,male,33,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,123,CD 6578,Desmognathus fuscus,female,34,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6604,Desmognathus fuscus,female,35,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6606,Desmognathus fuscus,female,35,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,123,CD 6569,Desmognathus fuscus,female,35.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6596,Desmognathus fuscus,female,36,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6598,Desmognathus fuscus,female,37.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6595,Desmognathus fuscus,female,38,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6593,Desmognathus fuscus,male,40,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6597,Desmognathus fuscus,male,40.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6599,Desmognathus fuscus,female,42,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,125,CD 6581,Desmognathus fuscus,male,42,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,129,CD 6603,Desmognathus fuscus,male,43.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,123,CD 6568,Desmognathus fuscus,female,43.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6605,Desmognathus fuscus,female,45,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6592,Desmognathus fuscus,female,45.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,125,CD 6582,Desmognathus fuscus,male,45.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,123,CD 6576,Desmognathus fuscus,male,46.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,123,CD 6577,Desmognathus fuscus,male,47,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,125,CD 6580,Desmognathus fuscus,male,48,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"Spring Fed Concrete Well on Bald, Whitetop Mt., VA (South side)"
267,123,CD 6567,Desmognathus fuscus,female,48.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6594,Desmognathus fuscus,male,49,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6602,Desmognathus fuscus,male,49,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,123,CD 6575,Desmognathus fuscus,male,50,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,129,CD 6601,Desmognathus fuscus,male,50.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,129,CD 6600,Desmognathus fuscus,male,53,,,Semi,biphasic ,14.5,,9/6/57,September,,5200,5200,,,,"Small Spring on Southeast Slope of Whitetop Mt., VA"
267,123,CD 6574,Desmognathus fuscus,male,54.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
267,123,CD 6573,Desmognathus fuscus,male,55.5,,,Semi,biphasic ,14.5,,9/6/57,September,,5300,5300,,,,"South Facing Slope of Whitetop Mt., VA. In shallow stream on Bald"
268,3,CD 10007,Desmognathus fuscus,juvenile,21,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10010,Desmognathus fuscus,juvenile,21.5,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,4,CD 10015,Desmognathus fuscus,female,34,,82,Semi,biphasic ,14.5,stream bank,7/10/58,July,,3450,3450,,,stream bank,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10013,Desmognathus fuscus,male,37.5,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10011,Desmognathus fuscus,male,40.5,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10005,Desmognathus fuscus,female,42,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10004,Desmognathus fuscus,male,42,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10009,Desmognathus fuscus,female,43.5,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,4,CD 10014,Desmognathus fuscus,male,44,,83,Semi,biphasic ,14.5,stream bank,7/10/58,July,,3450,3450,,,stream bank,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10002,Desmognathus fuscus,female,51,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10003,Desmognathus fuscus,male,52.5,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,5,CD 10027,Desmognathus fuscus,male,54.5,,84,Semi,biphasic ,14.5,stream bank,7/10/58,July,,3450,3450,,,stream bank,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10012,Desmognathus fuscus,male,56,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10001,Desmognathus fuscus,male,57,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,5,CD 10028,Desmognathus fuscus,male,57.5,,85,Semi,biphasic ,14.5,stream bank,7/10/58,July,,3450,3450,,,stream bank,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10008,Desmognathus fuscus,male,58,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,3,CD 10006,Desmognathus fuscus,male,60,,,Semi,biphasic ,14.5,,7/10/58,July,,3450,3450,,,,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10033,Desmognathus fuscus,female,43,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10039,Desmognathus fuscus,female,45.5,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10037,Desmognathus fuscus,male,48,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10034,Desmognathus fuscus,male,51,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10035,Desmognathus fuscus,male,57,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10038,Desmognathus fuscus,male,57,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,6,CD 10036,Desmognathus fuscus,male,57.5,,0,Semi,biphasic ,14.5,stream,7/11/58,July,,3450,3450,,,in stream,"Whitetop Mt., Smyth Co., VA, Mud Creek "
268,10,CD 10081,Desmognathus fuscus,male,34.5,,,Semi,biphasic ,14.5,,7/12/58,July,,3750,3750,,,,"Headwaters of East Fork of Bryars Creek Neat Rt. 58, Grayson Co., VA"
268,9,CD 10078,Desmognathus fuscus,female,35.5,,0,Semi,biphasic ,14.5,stream,7/12/58,July,,3750,3750,,,in stream,"Headwaters of Middle Fork of Byars Creek Near Rt. 58, Whitetop Mt., Grayson Co., VA "
268,9,CD 10077,Desmognathus fuscus,female,48,,0,Semi,biphasic ,14.5,stream,7/12/58,July,,3750,3750,,,in stream,"Headwaters of Middle Fork of Byars Creek Near Rt. 58, Whitetop Mt., Grayson Co., VA "
268,9,CD 10076,Desmognathus fuscus,male,53,,0,Semi,biphasic ,14.5,stream,7/12/58,July,,3750,3750,,,in stream,"Headwaters of Middle Fork of Byars Creek Near Rt. 58, Whitetop Mt., Grayson Co., VA "
268,16,CD 10145,Desmognathus fuscus,larva,20.5,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10144,Desmognathus fuscus,female,24.5,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10150,Desmognathus fuscus,female,40,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10152,Desmognathus fuscus,male,41.5,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10148,Desmognathus fuscus,female,42,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10151,Desmognathus fuscus,female,44,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10153,Desmognathus fuscus,female,44,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10147,Desmognathus fuscus,female,47.5,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,16,CD 10146,Desmognathus fuscus,male,48,,0,Semi,biphasic ,14.5,stream bed ,7/13/58,July,,4350,4350,,,stream bed,"Transect of Headwaters of Main Stream of big Branch, North Side Whitetop Mt., Smyth Co., VA"
268,41,CD 10449,Desmognathus fuscus,female,40.5,,,Semi,biphasic ,14.5,,7/14/58,July,,5200,5200,,7/17/58,,"South East Side of Whitetop Mt., Grayson Co., VA"
268,41,CD 10447,Desmognathus fuscus,male,46,,,Semi,biphasic ,14.5,,7/14/58,July,,5200,5200,,7/17/58,,"South East Side of Whitetop Mt., Grayson Co., VA"
268,41,CD 10448,Desmognathus fuscus,female,46.5,,,Semi,biphasic ,14.5,,7/14/58,July,,5200,5200,,7/17/58,,"South East Side of Whitetop Mt., Grayson Co., VA"
268,41,CD 10450,Desmognathus fuscus,male,52,,,Semi,biphasic ,14.5,,7/14/58,July,,5200,5200,,7/17/58,,"South East Side of Whitetop Mt., Grayson Co., VA"
268,21,CD 10239,Desmognathus fuscus,female,44,,,Semi,biphasic ,14.5,,7/15/58,July,,3800,3800,,,,"Transect South from RT.600 on South Facing Side of Whitetop Mt., Grayson Co., VA"
268,21,CD 10238,Desmognathus fuscus,female,51,,,Semi,biphasic ,14.5,,7/15/58,July,,3800,3800,,,,"Transect South from RT.600 on South Facing Side of Whitetop Mt., Grayson Co., VA"
268,34,CD 10371,Desmognathus fuscus,juvenile,20,,96,Semi,biphasic ,14.5,stream bank,7/16/58,July,,3450,3450,,,stream bank,"Mud Creek, Whitetop Mt., Grayson Co., VA"
268,36,CD 10398,Desmognathus fuscus,male,38,,114,Semi,biphasic ,14.5,stream bank,7/16/58,July,,4000,4000,,,stream bank,"Middle Fork of Byars Creek, North of RT.58 Whitetop Mt., Grayson Co., VA"
268,36,CD 10399,Desmognathus fuscus,male,50.5,,115,Semi,biphasic ,14.5,stream bank,7/16/58,July,,4000,4000,,,stream bank,"Middle Fork of Byars Creek, North of RT.58 Whitetop Mt., Grayson Co., VA"
268,34,CD 10375,Desmognathus fuscus,male,57,,97,Semi,biphasic ,14.5,stream bank,7/16/58,July,,3450,3450,,,stream bank,"Mud Creek, Whitetop Mt., Grayson Co., VA"
268,38,CD 10411,Desmognathus fuscus,female,45.5,,69,Semi,biphasic ,14.5,stream bank,7/17/58,July,,4350,4350,,,stream bank,"Transect of Headwaters of Main Stream of Big Branch Whitetop Mt., Smyth Co., VA"
268,43,CD 10473,Desmognathus fuscus,male,36.5,,71,Semi,biphasic ,14.5,stream bank,7/22/58,July,,3150,3150,,,stream bank,"Transect of Main Stream of Big Branch, Whitetop Mt., Smyth Co., VA"
268,43,CD 10472,Desmognathus fuscus,male,45,,72,Semi,biphasic ,14.5,stream bank,7/22/58,July,,3150,3150,,,stream bank,"Transect of Main Stream of Big Branch, Whitetop Mt., Smyth Co., VA"
268,45,CD 10489,Desmognathus fuscus,male,54.5,,,Semi,biphasic ,14.5,,7/22/58,July,9:00pm11:30pm,5350,52005500,,,,"Summit of Whitetop Mt., Grayson Co., VA"
268,50,CD 10568,Desmognathus fuscus,female,33.5,,,Semi,biphasic ,14.5,,7/23/58,July,,3550,3550,,,,"Middle Fork of Byars Creek, North of RT.58 (Park) Whitetop Mt., Grayson Co., VA"
268,50,CD 10569,Desmognathus fuscus,male,42.5,,,Semi,biphasic ,14.5,,7/23/58,July,,3550,3550,,,,"Middle Fork of Byars Creek, North of RT.58 (Park) Whitetop Mt., Grayson Co., VA"
268,60,CD 10696,Desmognathus fuscus,female,24.5,,,Semi,biphasic ,14.5,,7/25/58,July,,4100,4100,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
268,60,CD 10695,Desmognathus fuscus,male,35,,,Semi,biphasic ,14.5,,7/25/58,July,,4100,4100,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
268,54,CD 10623,Desmognathus fuscus,male,35,,,Semi,biphasic ,14.5,,7/25/58,July,,4200,4200,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
268,54,CD 10622,Desmognathus fuscus,female,37,,,Semi,biphasic ,14.5,,7/25/58,July,,4200,4200,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
268,68,CD 10789,Desmognathus fuscus,male,50.5,,,Semi,biphasic ,14.5,,7/25/58,July,,4000,4000,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
268,60,CD 10697,Desmognathus fuscus,male,63,,,Semi,biphasic ,14.5,,7/25/58,July,,4100,4100,,,,"Transect of South of Rt. 600 of South Side of Whitetop Mt., Grayson, VA"
